113.917236	147.070313	-0.608463	12.12848	0.689409	0.018341	346.07666	3	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.547617	12.12848	0.68654	0.019808	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.492855	12.12848	0.657326	0.02638	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	146.916504	-0.44357	12.12848	0.691042	0.02351	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.399213	12.12848	0.726761	0.034773	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.359291	12.12848	0.754798	0.032981	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.323362	12.12848	0.772698	0.029057	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.291026	12.12848	0.786881	0.024943	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.261923	12.12848	0.798524	0.015858	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.235731	12.12848	0.811037	0.026179	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.212158	12.12848	0.813907	0.024712	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.190942	12.12848	0.824209	0.023626	346.07666	3	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	146.916504	-0.171848	12.12848	0.831748	0.023021	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.154663	12.12848	0.76797	0.030429	346.07666	3	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.139197	12.12848	0.771169	0.022525	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.125277	12.12848	0.732312	0.01731	346.07666	3	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	146.916504	-0.112749	12.12848	0.754558	0.020477	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.101475	12.12848	0.70665	0.027291	346.07666	3	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.091327	12.12848	0.733841	0.023842	346.07666	5	0	0	0	0	-0.661128	0.76667	-0.105542	0
113.917236	147.070313	-0.082194	12.12848	0.694654	0.025063	346.07666	3	0	0	0	0	-0.661128	0.76667	-0.105542	0
